x_num,hand_sensor_id,hand_roll,hand_pitch,hand_yaw,hand_acc_x,hand_acc_y,hand_acc_z,head_sensor_id,head_roll,head_pitch,head_yaw,head_acc_x,head_acc_y,head_acc_z
0.1,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.2,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.30000000000000004,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.4,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.5,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.6,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.7,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.7999999999999999,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.8999999999999999,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
0.9999999999999999,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.0999999999999999,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.2,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.3,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.4000000000000001,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.5000000000000002,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.6000000000000003,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.7000000000000004,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.8000000000000005,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
1.9000000000000006,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.0000000000000004,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.1000000000000005,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.2000000000000006,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.3000000000000007,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.400000000000001,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.500000000000001,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
2.600000000000001,,,,,,,,ID:100-1,-0.79,-0.51,155.23,0.0,0.0,0.0
