Y-M-D,H-M-S,Roll_hand,Pitch_hand,Yaw_hand,Acc_x_hand,Acc_y_hand,Acc_z_hand,Roll_head,Pitch_head,Yaw_head,Acc_x_head,Acc_y_head,Acc_z_head
2022-11-14,02:37:44.313156,120.02,72.31,-44.72,2985.2,2414.6,-438.99999999999994,-78.13,23.44,167.62,-2715.2999999999997,2270.4,-166.2
2022-11-14,02:37:44.413177,119.75,72.7,-44.8,2979.7000000000003,2418.2,-439.1,-78.38,23.03,167.55,-2722.2000000000003,2275.6,-166.3
2022-11-14,02:37:44.513164,119.64,72.99,-44.99,2975.0,2421.2,-438.90000000000003,-78.5,22.75,167.58,-2728.2,2280.3999999999996,-166.5
2022-11-14,02:37:44.820337,119.52,73.32,-45.03,2970.2000000000003,2424.4,-438.90000000000003,-78.62,22.48,167.61,-2733.7,2284.6,-166.3
2022-11-14,02:37:44.825061,119.31,73.55,-45.34,2966.4,2426.5,-438.40000000000003,-78.45,22.21,167.85,-2738.7,2288.6,-166.4
2022-11-14,02:37:44.828933,119.16,73.82,-45.52,2962.6,2429.4,-438.3,-78.49,22.06,167.8,-2743.6,2292.1,-166.79999999999998
2022-11-14,02:37:44.913324,118.86,74.04,-45.79,2959.4,2430.9,-437.9,-78.59,21.81,167.71,-2747.1,2295.1,-166.70000000000002
2022-11-14,02:37:45.013194,118.7,74.3,-45.84,2956.5,2432.7999999999997,-437.7,-78.7,21.53,167.66,-2750.7999999999997,2297.8,-166.9
2022-11-14,02:37:45.113197,118.32,74.52,-46.05,2954.1,2433.7,-437.3,-78.85,21.18,167.64,-2754.5,2300.5,-166.9
2022-11-14,02:37:45.405295,118.09,74.73,-46.05,2951.8,2435.9,-437.2,-79.01,21.04,167.55,-2758.2000000000003,2303.3,-166.70000000000002
2022-11-14,02:37:45.408920,117.91,74.89,-46.17,2949.5,2437.2,-437.0,-79.07,20.9,167.46,-2760.7,2305.3,-166.70000000000002
2022-11-14,02:37:45.413064,117.83,75.07,-46.21,2947.4,2438.7,-436.7,-79.22,20.63,167.42,-2763.2000000000003,2306.9,-167.0
2022-11-14,02:37:45.513124,117.69,75.17,-46.43,0.0,0.0,0.0,-79.43,20.38,167.35,-2766.1000000000004,2309.1,-166.6
2022-11-14,02:37:45.613180,117.51,75.28,-46.54,-1.4000000000000001,0.8,0.0,-79.51,20.27,167.28,-2768.3,2310.6000000000004,-166.6
2022-11-14,02:37:45.713110,117.4,75.33,-46.61,-0.2,0.0,0.0,-79.55,20.05,167.21,-2770.6,2312.3,-166.70000000000002
2022-11-14,02:37:46.021629,117.46,75.43,-46.44,-0.1,0.1,0.0,-79.7,19.97,167.19,-2772.8,2314.3,-166.0
2022-11-14,02:37:46.026179,117.52,75.52,-46.38,0.0,0.0,0.0,-79.7,19.89,167.24,-2774.6,2315.7,-165.79999999999998
2022-11-14,02:37:46.030220,117.58,75.6,-46.31,-0.4,0.3,0.0,-79.65,19.89,167.36,0.0,0.0,0.0
2022-11-14,02:37:46.113050,117.67,75.69,-46.4,0.0,0.0,0.0,-79.72,19.82,167.36,-0.7000000000000001,0.4,0.0
2022-11-14,02:37:46.213042,117.65,75.73,-46.51,0.0,0.0,0.0,-79.88,19.8,167.25,0.0,0.0,0.0
2022-11-14,02:37:46.313061,117.65,75.75,-46.67,0.0,0.0,0.0,-80.02,19.76,167.15,0.0,0.0,0.0
2022-11-14,02:37:46.600698,117.49,75.73,-46.85,0.0,0.0,0.0,-80.07,19.74,167.08,0.0,0.0,0.0
2022-11-14,02:37:46.604171,117.55,75.79,-46.79,0.0,0.0,0.0,-80.12,19.7,167.08,0.0,0.0,0.0
2022-11-14,02:37:46.612944,117.52,75.86,-46.74,0.0,0.0,0.0,-80.08,19.76,167.11,0.0,0.0,0.0
2022-11-14,02:37:46.713073,117.35,75.89,-46.88,0.0,0.0,0.0,-79.94,19.7,167.19,0.0,0.0,0.0
2022-11-14,02:37:46.813065,117.35,75.97,-46.9,0.0,0.0,0.0,-80.08,19.67,167.08,0.0,0.0,0.0
2022-11-14,02:37:46.913065,117.11,76.01,-47.16,0.0,0.0,0.0,-80.09,19.66,167.05,0.0,0.0,0.0
2022-11-14,02:37:47.221574,116.93,76.11,-47.29,0.0,0.0,0.0,-80.12,19.58,166.96,0.0,0.0,0.0
2022-11-14,02:37:47.226102,116.73,76.13,-47.54,0.0,0.0,0.0,-80.14,19.48,166.96,0.0,0.0,0.0
2022-11-14,02:37:47.229902,116.65,76.18,-47.85,0.0,0.0,0.0,-80.16,19.35,166.95,0.0,0.0,0.0
2022-11-14,02:37:47.313045,116.53,76.2,-48.11,0.0,0.0,0.0,-80.23,19.25,166.91,0.0,0.0,0.0
2022-11-14,02:37:47.413064,116.14,76.22,-48.32,0.0,0.0,0.0,-80.26,19.19,166.95,0.0,0.0,0.0
2022-11-14,02:37:47.513088,115.9,76.25,-48.35,0.0,0.0,0.0,-80.28,19.21,167.0,0.0,0.0,0.0
2022-11-14,02:37:47.798722,115.78,76.22,-48.41,0.0,0.0,0.0,-80.26,19.2,167.07,0.0,0.0,0.0
2022-11-14,02:37:47.802254,115.76,76.23,-48.44,0.0,0.0,0.0,-80.17,19.13,167.17,0.0,0.0,0.0
2022-11-14,02:37:47.813013,115.53,76.29,-48.59,0.0,0.0,0.0,-80.25,19.05,167.16,0.0,0.0,0.0
2022-11-14,02:37:47.913133,115.55,76.42,-48.57,0.0,0.0,0.0,-80.29,19.14,167.12,0.0,0.0,0.0
2022-11-14,02:37:48.014024,115.38,76.47,-48.71,0.0,0.0,0.0,-80.35,19.03,167.16,0.0,0.0,0.0
2022-11-14,02:37:48.114943,115.29,76.55,-48.72,0.0,0.0,0.0,-80.47,18.84,167.2,0.0,0.0,0.0
2022-11-14,02:37:48.473944,115.31,76.56,-48.66,0.0,0.0,0.0,-80.56,18.7,167.21,0.0,0.0,0.0
2022-11-14,02:37:48.478757,115.31,76.55,-48.62,0.0,0.0,0.0,-80.65,18.59,167.28,0.0,0.0,0.0
2022-11-14,02:37:48.482855,115.36,76.53,-48.48,0.0,0.0,0.0,-80.66,18.64,167.3,0.0,0.0,0.0
2022-11-14,02:37:48.513058,115.44,76.51,-48.29,0.0,0.0,0.0,-80.67,18.76,167.32,0.0,0.0,0.0
2022-11-14,02:37:48.613066,115.64,76.54,-48.05,0.0,0.0,0.0,-80.66,18.85,167.39,0.0,0.0,0.0
2022-11-14,02:37:48.713071,115.65,76.53,-48.06,0.0,0.0,0.0,-80.57,18.94,167.47,0.0,0.0,0.0
2022-11-14,02:37:48.997654,115.83,76.53,-48.04,0.0,0.0,0.0,-80.54,18.96,167.41,0.0,0.0,0.0
2022-11-14,02:37:49.001255,115.95,76.54,-47.89,0.0,0.0,0.0,-80.61,19.03,167.33,0.0,0.0,0.0
2022-11-14,02:37:49.013076,116.1,76.6,-47.71,0.0,0.0,0.0,-80.63,19.07,167.25,0.0,0.0,0.0
2022-11-14,02:37:49.113051,116.26,76.64,-47.53,0.0,0.0,0.0,-80.53,19.1,167.28,0.0,0.0,0.0
2022-11-14,02:37:49.213048,116.36,76.65,-47.61,0.0,0.0,0.0,-80.52,19.12,167.26,0.0,0.0,0.0
2022-11-14,02:37:49.313053,116.4,76.62,-47.73,0.0,0.0,0.0,-80.71,19.06,167.17,0.0,0.0,0.0
2022-11-14,02:37:49.622878,116.48,76.61,-47.71,0.0,0.0,0.0,-80.85,19.03,167.09,0.0,0.0,0.0
2022-11-14,02:37:49.627565,116.56,76.69,-47.57,0.0,0.0,0.0,-80.88,19.0,167.09,0.0,0.0,0.0
2022-11-14,02:37:49.631269,116.56,76.67,-47.69,0.0,0.0,0.0,-80.75,19.01,167.19,0.0,0.0,0.0
2022-11-14,02:37:49.713066,116.5,76.68,-47.87,0.0,0.0,0.0,-80.77,18.97,167.18,0.0,0.0,0.0
2022-11-14,02:37:49.813067,116.67,76.72,-47.91,0.0,0.0,0.0,-80.86,18.95,167.06,0.0,0.0,0.0
2022-11-14,02:37:49.913056,116.5,76.7,-48.07,0.0,0.0,0.0,-80.86,18.89,166.99,0.0,0.0,0.0
2022-11-14,02:37:50.198861,116.45,76.67,-48.19,0.0,0.0,0.0,-81.03,18.87,166.94,0.0,0.0,0.0
2022-11-14,02:37:50.202360,116.23,76.67,-48.21,0.0,0.0,0.0,-81.07,18.79,166.94,0.0,0.0,0.0
2022-11-14,02:37:50.213014,116.09,76.66,-48.27,0.0,0.0,0.0,-80.97,18.79,167.08,0.0,0.0,0.0
2022-11-14,02:37:50.313054,115.99,76.64,-48.24,0.0,0.0,0.0,-80.88,18.76,167.23,0.0,0.0,0.0
2022-11-14,02:37:50.413050,115.97,76.66,-48.24,0.0,0.0,0.0,-80.79,18.79,167.33,0.0,0.0,0.0
2022-11-14,02:37:50.513053,115.99,76.65,-48.3,0.0,0.0,0.0,-80.68,18.88,167.43,0.0,0.0,0.0
2022-11-14,02:37:50.822441,115.99,76.64,-48.39,0.0,0.0,0.0,-80.69,18.9,167.38,0.0,0.0,0.0
2022-11-14,02:37:50.826974,115.95,76.62,-48.49,0.0,0.0,0.0,-80.71,18.93,167.33,0.0,0.0,0.0
2022-11-14,02:37:50.831170,115.92,76.62,-48.48,0.0,0.0,0.0,-80.78,18.88,167.32,0.0,0.0,0.0
2022-11-14,02:37:50.913044,115.96,76.63,-48.37,0.0,0.0,0.0,-80.83,18.86,167.34,0.0,0.0,0.0
2022-11-14,02:37:51.013052,115.88,76.64,-48.28,0.0,0.0,0.0,-80.79,18.76,167.46,0.0,0.0,0.0
2022-11-14,02:37:51.113051,116.02,76.68,-48.09,0.0,0.0,0.0,-80.82,18.82,167.49,0.0,0.0,0.0
2022-11-14,02:37:51.397805,115.93,76.7,-48.0,0.0,0.0,0.0,-80.76,18.84,167.62,0.0,0.0,0.0
2022-11-14,02:37:51.401288,115.93,76.76,-47.93,0.0,0.0,0.0,-80.73,18.84,167.71,0.0,0.0,0.0
2022-11-14,02:37:51.413045,115.87,76.81,-47.9,0.0,0.0,0.0,-80.7,18.8,167.8,0.0,0.0,0.0
2022-11-14,02:37:51.513048,115.82,76.91,-47.87,0.0,0.0,0.0,-80.75,18.75,167.82,0.0,0.0,0.0
2022-11-14,02:37:51.613031,115.81,77.01,-47.81,0.0,0.0,0.0,-80.84,18.69,167.83,0.0,0.0,0.0
2022-11-14,02:37:51.713042,115.8,77.15,-47.72,0.0,0.0,0.0,-80.93,18.58,167.88,0.0,0.0,0.0
2022-11-14,02:37:52.024572,115.77,77.32,-47.44,0.0,0.0,0.0,-81.06,18.42,167.91,0.0,0.0,0.0
2022-11-14,02:37:52.029379,116.0,77.53,-46.97,0.2,-0.1,0.1,-81.35,18.1,168.02,0.0,0.0,0.0
2022-11-14,02:37:52.033480,116.13,77.75,-46.45,0.0,0.0,0.0,-81.52,18.01,168.35,0.0,0.0,0.0
2022-11-14,02:37:52.113051,116.63,78.09,-45.73,0.0,0.0,0.1,-81.7,17.69,168.74,1.6,0.0,-0.1
2022-11-14,02:37:52.213107,116.53,78.47,-45.55,0.8999999999999999,-0.3,3.1,-81.72,17.06,170.16,10.0,0.0,0.8
2022-11-14,02:37:52.313075,115.47,78.86,-45.71,1.2,2.1,9.700000000000001,-81.63,14.83,173.63,23.3,-1.2,-1.6
2022-11-14,02:37:52.596986,113.39,78.69,-47.33,-0.2,4.2,14.2,-82.4,12.19,177.96,33.6,-1.7999999999999998,-4.6
2022-11-14,02:37:52.600515,107.87,81.35,-51.26,-1.0,5.5,12.1,-83.36,9.64,-177.94,41.3,-4.8,-9.0
2022-11-14,02:37:52.613080,91.84,84.96,-65.19,1.9,-1.4000000000000001,-0.7000000000000001,-84.94,7.16,-174.9,46.1,-7.6,-20.3
2022-11-14,02:37:52.713115,29.32,86.8,-123.04,-4.3999999999999995,-6.0,0.1,-87.32,4.94,-173.25,46.0,-6.2,-32.800000000000004
2022-11-14,02:37:52.813157,-19.6,83.82,-170.41,-7.5,-5.4,-2.8000000000000003,-89.52,2.03,-172.93,36.199999999999996,-2.8000000000000003,-42.6
2022-11-14,02:37:52.913137,-30.74,80.65,178.71,-3.2,-8.3,-5.2,-91.25,-0.65,-173.6,18.6,2.8000000000000003,-44.6
2022-11-14,02:37:53.230505,-31.8,78.84,178.51,-0.4,1.0,-0.8999999999999999,-92.78,-3.04,-174.35,-1.7999999999999998,10.299999999999999,-34.300000000000004
2022-11-14,02:37:53.236973,-32.44,77.58,178.6,-1.6,1.7999999999999998,-3.2,-93.3,-4.64,-174.85,-18.7,17.7,-21.0
2022-11-14,02:37:53.244056,-33.52,76.96,178.5,-1.9,1.7000000000000002,-6.1,-93.47,-5.82,-175.15,-32.6,22.2,-13.3
2022-11-14,02:37:53.314098,-37.2,76.17,176.06,-3.3000000000000003,3.3000000000000003,-6.6000000000000005,-93.68,-6.73,-175.48,-42.3,24.3,-10.4
2022-11-14,02:37:53.414100,-38.26,75.6,175.27,-4.6,4.7,-3.4000000000000004,-93.94,-7.13,-175.98,-48.5,26.1,-8.7
2022-11-14,02:37:53.514680,-36.69,75.49,176.33,1.5,-1.2,-1.5,-94.17,-7.19,-176.46,-54.2,27.900000000000002,-3.9
2022-11-14,02:37:53.852513,-38.79,75.25,175.14,-0.4,0.5,0.4,-93.86,-6.89,-177.25,-56.99999999999999,30.0,-1.4000000000000001
2022-11-14,02:37:53.856035,-34.55,75.26,177.76,0.5,-0.6,0.0,-93.83,-6.95,-177.69,-1.3,0.0,0.0
2022-11-14,02:37:53.859189,-33.39,75.4,178.93,0.0,0.0,0.0,-93.97,-7.09,-178.23,-4.3999999999999995,0.0,0.1
2022-11-14,02:37:53.913009,-34.4,75.22,178.19,0.0,0.0,0.0,-94.38,-7.4,-178.74,-6.2,1.4000000000000001,1.0
2022-11-14,02:37:54.013040,-35.14,75.24,177.77,-0.1,0.0,0.0,-94.64,-7.42,-178.81,0.0,0.0,0.0
2022-11-14,02:37:54.113047,-36.09,75.07,177.0,0.0,0.0,0.0,-94.86,-7.5,-178.83,0.0,0.0,0.0
2022-11-14,02:37:54.430845,-36.79,74.99,176.33,0.0,0.0,0.0,-95.15,-7.53,-178.77,-0.8999999999999999,0.8999999999999999,0.4
2022-11-14,02:37:54.435422,-36.97,74.98,176.02,0.0,0.0,0.0,-95.36,-7.45,-178.71,0.0,0.0,0.0
2022-11-14,02:37:54.439149,-37.14,74.98,175.83,0.2,-0.2,0.0,-95.61,-7.43,-178.63,-0.1,0.1,0.0
2022-11-14,02:37:54.513015,-37.51,75.02,175.63,0.0,0.0,0.0,-95.91,-7.44,-178.53,-2.1999999999999997,1.6,1.9
2022-11-14,02:37:54.613027,-37.88,75.07,175.46,0.0,0.0,0.0,-95.82,-7.37,-178.57,0.0,0.0,0.0
2022-11-14,02:37:54.713055,-38.63,74.94,174.68,0.0,0.0,0.0,-95.84,-7.29,-178.6,0.0,0.0,0.0
2022-11-14,02:37:54.998904,-39.27,74.71,173.95,0.0,0.0,0.0,-95.95,-7.21,-178.55,0.0,0.0,0.0
2022-11-14,02:37:55.002396,-39.1,74.7,174.0,0.0,0.0,0.0,-95.99,-7.27,-178.54,0.0,0.0,0.0
2022-11-14,02:37:55.012986,-39.19,74.64,173.84,0.0,0.0,0.0,-96.15,-7.34,-178.5,0.0,0.0,0.0
2022-11-14,02:37:55.113014,-38.87,74.6,173.93,0.0,0.0,0.0,-96.27,-7.35,-178.42,0.0,0.0,0.0
2022-11-14,02:37:55.213047,-38.9,74.61,173.88,0.0,0.0,0.0,-96.45,-7.37,-178.37,0.0,0.0,0.0
2022-11-14,02:37:55.313046,-38.72,74.55,173.95,0.0,0.0,0.0,-96.56,-7.4,-178.27,0.0,0.0,0.0
2022-11-14,02:37:55.676934,-38.56,74.5,174.05,0.0,0.0,0.0,-96.74,-7.37,-178.18,0.0,0.0,0.0
2022-11-14,02:37:55.681638,-39.01,74.5,173.82,0.0,0.0,0.0,-96.89,-7.31,-178.12,0.0,0.0,0.0
2022-11-14,02:37:55.685409,-39.07,74.51,173.82,0.0,0.0,0.0,-96.89,-7.31,-178.04,0.0,0.0,0.0
2022-11-14,02:37:55.713021,-38.48,74.53,174.1,0.0,0.0,0.0,-96.89,-7.23,-178.02,0.0,0.0,0.0
2022-11-14,02:37:55.812987,-38.2,74.63,174.13,0.0,0.0,0.0,-96.86,-7.18,-178.08,0.0,0.0,0.0
2022-11-14,02:37:55.913007,-37.94,74.71,173.99,0.0,0.0,0.0,-96.97,-7.05,-178.16,0.0,0.0,0.0
2022-11-14,02:37:56.326791,-36.96,74.9,173.94,0.0,0.0,0.1,-97.09,-7.06,-178.39,-0.1,0.0,0.0
2022-11-14,02:37:56.331872,-35.74,75.43,174.28,-0.8999999999999999,1.9,2.0,-97.62,-7.62,-178.79,-3.2,-1.9,0.0
2022-11-14,02:37:56.336209,-32.83,75.38,175.05,0.5,-1.7999999999999998,-1.0999999999999999,-99.39,-9.38,-179.2,-3.0,-3.4000000000000004,-1.9
2022-11-14,02:37:56.339599,-32.64,75.4,175.01,-0.4,0.7000000000000001,0.8999999999999999,-100.8,-9.78,-179.69,-0.3,0.0,-2.4
2022-11-14,02:37:56.412956,-31.4,75.04,175.07,0.0,0.0,0.0,-101.06,-10.16,-179.89,0.0,0.0,-0.2
2022-11-14,02:37:56.513043,-29.1,74.85,175.21,1.7000000000000002,-0.7000000000000001,-1.0999999999999999,-101.13,-10.75,-179.99,0.0,0.0,0.0
2022-11-14,02:37:56.840945,-27.19,74.92,175.35,3.9,-3.5999999999999996,-1.5,-101.64,-11.15,179.86,-2.7,-0.4,2.7
2022-11-14,02:37:56.846381,-26.14,74.95,175.18,0.0,-2.5,-0.7000000000000001,-101.9,-11.22,179.38,-3.5000000000000004,0.8999999999999999,4.7
2022-11-14,02:37:56.850777,-26.27,74.93,174.71,0.0,0.0,0.0,-102.34,-11.25,178.88,-2.3,4.5,4.3999999999999995
2022-11-14,02:37:56.912947,-25.87,74.9,174.83,0.0,0.0,0.0,-102.85,-11.06,178.95,-0.6,7.9,4.5
2022-11-14,02:37:57.013006,-25.96,74.96,174.77,0.2,-0.3,0.0,-103.17,-11.06,179.28,0.0,0.0,0.0
2022-11-14,02:37:57.113038,-26.59,75.04,174.63,-0.7000000000000001,0.8999999999999999,0.4,-103.69,-10.93,179.98,0.3,1.4000000000000001,1.0
2022-11-14,02:37:57.397556,-27.07,74.98,174.52,0.0,0.0,0.0,-103.86,-10.76,-179.07,0.0,0.0,0.0
2022-11-14,02:37:57.401198,-27.15,74.98,174.84,0.0,0.0,0.0,-103.88,-10.81,-178.54,0.0,0.0,0.0
2022-11-14,02:37:57.412968,-27.33,74.93,175.02,0.0,0.0,0.0,-103.77,-11.32,-178.42,-0.6,0.0,1.0999999999999999
2022-11-14,02:37:57.513032,-27.08,74.91,175.05,0.6,-0.4,-0.2,-103.35,-11.76,-178.46,0.0,0.0,0.0
2022-11-14,02:37:57.613011,-27.4,75.03,174.94,-0.3,0.3,0.2,-103.32,-11.8,-178.34,0.0,0.0,0.0
2022-11-14,02:37:57.712949,-27.46,74.97,174.74,0.0,0.0,0.0,-103.13,-11.66,-178.23,0.0,0.0,0.0
2022-11-14,02:37:58.036366,-27.24,74.91,174.8,0.0,0.0,0.0,-103.18,-11.62,-178.06,0.0,0.0,0.0
2022-11-14,02:37:58.041373,-27.52,74.89,174.7,0.0,0.0,0.0,-103.19,-11.61,-177.84,0.0,0.0,0.0
2022-11-14,02:37:58.045161,-27.4,74.77,174.79,0.0,0.0,0.0,-103.1,-11.65,-177.68,0.0,0.0,0.0
2022-11-14,02:37:58.112938,-27.72,74.61,174.58,0.0,0.0,0.0,-102.82,-11.68,-177.64,0.0,0.0,0.0
2022-11-14,02:37:58.212949,-27.93,74.49,174.53,0.0,0.0,0.0,-102.7,-11.68,-177.56,0.0,0.0,0.0
2022-11-14,02:37:58.312950,-27.64,74.21,174.64,0.0,0.0,0.0,-102.41,-11.56,-177.5,0.0,0.0,0.0
2022-11-14,02:37:58.595441,-27.49,74.01,174.66,0.0,0.0,0.0,-101.74,-11.4,-177.57,0.0,0.0,0.0
2022-11-14,02:37:58.599025,-27.61,73.83,174.39,0.0,0.0,0.0,-101.01,-10.91,-177.61,0.0,0.0,0.0
2022-11-14,02:37:58.612984,-27.52,73.79,174.5,0.0,0.0,0.0,-100.53,-10.41,-177.75,0.0,0.0,0.0
2022-11-14,02:37:58.713893,-27.32,73.6,174.37,0.0,0.0,0.0,-100.44,-10.08,-177.79,0.3,1.4000000000000001,0.0
2022-11-14,02:37:58.814941,-26.42,73.51,174.67,1.5,-2.1999999999999997,-0.6,-100.19,-8.94,-177.46,0.0,0.0,0.0
2022-11-14,02:37:58.914923,-26.78,73.56,174.92,-0.4,0.3,0.0,-100.15,-8.07,-176.9,0.0,0.0,0.0
2022-11-14,02:37:59.294126,-26.98,73.49,174.93,0.0,0.0,0.0,-99.89,-7.7,-176.45,0.0,0.0,0.0
2022-11-14,02:37:59.299582,-26.97,73.42,174.86,0.0,0.0,0.0,-99.44,-7.67,-176.08,-1.0999999999999999,-1.2,-0.7000000000000001
2022-11-14,02:37:59.303302,-27.92,73.42,174.23,0.0,0.0,0.0,-99.5,-7.8,-175.92,0.0,0.0,0.0
2022-11-14,02:37:59.313275,-28.23,73.42,174.0,0.0,0.0,0.0,-99.72,-7.87,-175.64,0.0,0.0,0.0
2022-11-14,02:37:59.412986,-28.6,73.46,173.92,0.0,1.0,0.7000000000000001,-99.95,-7.84,-175.56,-0.4,0.6,1.4000000000000001
2022-11-14,02:37:59.513039,-28.04,73.49,174.08,0.1,-0.1,-0.2,-99.76,-7.88,-175.58,-0.6,-0.5,1.0
2022-11-14,02:37:59.795970,-28.7,73.55,173.6,0.0,0.0,0.0,-99.26,-8.09,-175.92,-0.1,0.0,-0.1
2022-11-14,02:37:59.799447,-29.51,73.6,173.31,0.0,0.0,0.0,-99.4,-8.11,-176.27,-0.7000000000000001,1.5,-3.0
2022-11-14,02:37:59.813146,-30.79,73.63,173.25,-0.5,1.5,1.3,-100.51,-8.67,-176.75,-0.2,4.5,-6.9
2022-11-14,02:37:59.912999,-29.13,73.71,175.07,-0.3,5.3,4.6,-101.93,-9.58,-176.79,1.7000000000000002,7.6,-4.5
2022-11-14,02:38:00.013014,-26.57,74.01,177.28,-6.4,14.399999999999999,4.3999999999999995,-101.45,-10.34,-176.31,1.7999999999999998,4.9,1.6
2022-11-14,02:38:00.113017,-24.8,73.72,174.67,-4.2,9.6,-0.6,-100.4,-11.44,-175.86,-4.3,-2.4,1.7999999999999998
2022-11-14,02:38:00.447042,-28.67,73.92,170.97,0.8,-1.0999999999999999,-1.7999999999999998,-101.09,-11.17,-176.21,-8.7,-4.1000000000000005,-2.3
2022-11-14,02:38:00.452569,-31.48,73.91,169.42,-2.0,-1.3,1.2,-102.86,-10.54,-176.69,-3.6999999999999997,2.5,-6.2
2022-11-14,02:38:00.456501,-31.13,73.85,170.14,0.0,0.0,0.0,-104.12,-10.33,-176.2,-0.8,8.799999999999999,-2.1999999999999997
2022-11-14,02:38:00.513026,-30.07,74.04,171.42,1.2,-0.4,-1.0999999999999999,-104.1,-10.39,-175.78,0.0,0.0,0.0
2022-11-14,02:38:00.613000,-30.69,74.17,171.4,-0.5,2.0,0.6,-103.84,-10.56,-175.69,0.0,0.0,0.0
2022-11-14,02:38:00.712937,-30.96,74.13,170.97,0.0,0.0,0.0,-103.52,-10.58,-175.74,0.0,0.0,0.0
2022-11-14,02:38:01.044816,-31.02,74.12,170.56,0.0,0.0,0.0,-103.3,-10.41,-175.91,0.0,0.0,0.0
2022-11-14,02:38:01.051236,-31.19,74.05,170.25,1.4000000000000001,-2.8000000000000003,-1.2,-103.2,-10.4,-176.31,0.0,0.1,-0.3
2022-11-14,02:38:01.055244,-31.7,73.97,170.31,-0.2,0.5,1.0,-103.7,-10.47,-176.82,2.1999999999999997,3.6999999999999997,-3.9
2022-11-14,02:38:01.112976,-30.65,73.76,171.24,0.0,0.0,0.0,-104.37,-10.95,-176.69,4.0,6.7,-4.3999999999999995
2022-11-14,02:38:01.213000,-29.83,73.56,171.56,0.0,0.0,0.0,-104.57,-11.72,-176.43,-0.1,-0.2,2.4
2022-11-14,02:38:01.313002,-28.65,73.51,171.58,0.0,-0.6,-0.8999999999999999,-104.15,-12.24,-176.31,-3.1,-3.5999999999999996,4.6
2022-11-14,02:38:01.596125,-28.71,73.45,170.69,1.0,-4.6,-2.4,-103.88,-12.5,-176.48,0.0,0.0,0.0
2022-11-14,02:38:01.599813,-30.12,73.37,169.55,-0.5,0.0,1.0999999999999999,-104.36,-11.87,-176.46,1.7999999999999998,2.7,-1.9
2022-11-14,02:38:01.612971,-30.21,73.24,169.65,0.0,0.0,0.0,-105.11,-11.44,-176.11,2.8000000000000003,5.7,-2.0
2022-11-14,02:38:01.712957,-29.92,73.12,170.19,0.0,0.0,0.0,-105.37,-11.51,-175.83,2.9000000000000004,8.200000000000001,-0.1
2022-11-14,02:38:01.812982,-30.19,72.97,170.39,0.0,0.0,0.0,-105.19,-11.63,-175.53,0.0,0.0,0.0
2022-11-14,02:38:01.912996,-29.99,72.75,170.58,0.0,0.0,0.0,-104.92,-11.88,-175.25,-1.3,-0.5,0.8
2022-11-14,02:38:02.236678,-29.74,72.65,170.84,0.0,0.0,0.0,-104.67,-11.94,-175.21,0.0,0.0,0.0
2022-11-14,02:38:02.241818,-29.34,72.68,171.31,0.0,-0.1,-0.1,-104.28,-11.39,-175.04,-0.5,0.6,1.7000000000000002
2022-11-14,02:38:02.245790,-29.12,72.84,171.78,0.0,-0.1,0.0,-103.83,-10.76,-174.76,-1.7999999999999998,3.1,2.6
