Y-M-D,H-M-S,Roll_hand,Pitch_hand,Yaw_hand,Acc_x_hand,Acc_y_hand,Acc_z_hand,Roll_head,Pitch_head,Yaw_head,Acc_x_head,Acc_y_head,Acc_z_head
2022-11-14,02:37:42.069485,124.1,62.09,-43.43,-3267.4999999999995,2207.0,-413.6,-74.85,37.53,166.65,-2338.2999999999997,2010.3000000000002,-117.30000000000001
2022-11-14,02:37:42.072936,123.91,62.62,-43.1,3267.4999999999995,2221.0,-416.2,-75.1,36.42,166.79,-2364.3,2026.3999999999999,-122.0
2022-11-14,02:37:42.076217,123.94,63.01,-42.9,3249.7,2234.3,-418.49999999999994,-75.09,35.44,167.25,-2389.7,2042.1,-126.29999999999998
2022-11-14,02:37:42.079849,124.01,63.36,-42.74,3232.3,2247.2000000000003,-420.6,-75.07,34.57,167.45,-2413.8,2056.8,-130.5
2022-11-14,02:37:42.155232,124.27,65.17,-41.83,3135.4,2315.7,-430.3,-75.88,31.59,166.79,-2535.5,2138.2000000000003,-147.8
2022-11-14,02:37:42.160428,123.77,65.5,-41.82,3120.4,2325.6,-431.29999999999995,-76.03,31.01,166.82,-2553.4,2151.2,-150.2
2022-11-14,02:37:42.164883,123.7,65.8,-41.72,3105.9,2336.0,-432.8,-75.97,30.68,166.96,-2570.4,2165.0,-151.29999999999998
2022-11-14,02:37:42.168714,123.38,65.97,-41.75,3091.5,2345.6,-434.3,-75.43,30.48,167.41,-2586.6,2176.5,-153.6
2022-11-14,02:37:43.913153,120.89,70.65,-43.74,3012.6,2397.1,-438.90000000000003,-76.97,25.68,167.92,-2680.7,2245.1,-164.1
2022-11-14,02:37:44.197912,120.78,71.02,-44.0,3004.5,2402.5,-439.1,-77.25,25.03,167.91,-2691.2,2252.0,-165.1
2022-11-14,02:37:44.201530,120.46,71.47,-44.23,2997.6,2406.6,-439.20000000000005,-77.6,24.47,167.75,-2700.1,2258.5,-165.6
2022-11-14,02:37:44.213186,120.24,71.92,-44.48,2991.0,2411.3,-439.20000000000005,-77.89,23.98,167.64,-2707.7999999999997,2264.7,-165.79999999999998
